# x1 x2 x3 x4 x5 x6 x7 x8 x9
# 23331 9
# 11 21 101 9
 4.61813361e-01 -2.00000000e-01 -1.00000000e-01  6.94554046e-01 -4.89996684e-01 -1.00000000e-01  8.11124260e-02 -5.72233464e-02  1.04614402e+00
 4.68410694e-01 -2.00000000e-01 -1.00000000e-01  6.97619051e-01 -4.85623035e-01 -1.00000000e-01  8.14703992e-02 -5.67125991e-02  1.04614411e+00
 4.75008028e-01 -2.00000000e-01 -1.00000000e-01  7.00656502e-01 -4.81230235e-01 -1.00000000e-01  8.18249929e-02 -5.61995545e-02  1.04614385e+00
 4.81605362e-01 -2.00000000e-01 -1.00000000e-01  7.03666332e-01 -4.76818378e-01 -1.00000000e-01  8.21762655e-02 -5.56842459e-02  1.04614339e+00
 4.88202695e-01 -2.00000000e-01 -1.00000000e-01  7.06648356e-01 -4.72387736e-01 -1.00000000e-01  8.25244163e-02 -5.51668202e-02  1.04614322e+00
 4.94800029e-01 -2.00000000e-01 -1.00000000e-01  7.09602485e-01 -4.67938442e-01 -1.00000000e-01  8.28694100e-02 -5.46472654e-02  1.04614327e+00
 5.01397363e-01 -2.00000000e-01 -1.00000000e-01  7.12528609e-01 -4.63470662e-01 -1.00000000e-01  8.32111938e-02 -5.41255658e-02  1.04614344e+00
 5.07994696e-01 -2.00000000e-01 -1.00000000e-01  7.15426588e-01 -4.58984608e-01 -1.00000000e-01  8.35497111e-02 -5.36017124e-02  1.04614362e+00
 5.14592030e-01 -2.00000000e-01 -1.00000000e-01  7.18296340e-01 -4.54480407e-01 -1.00000000e-01  8.38849114e-02 -5.30756868e-02  1.04614370e+00
 5.21189364e-01 -2.00000000e-01 -1.00000000e-01  7.21137731e-01 -4.49958271e-01 -1.00000000e-01  8.42167234e-02 -5.25474860e-02  1.04614358e+00
 5.27786697e-01 -2.00000000e-01 -1.00000000e-01  7.23950635e-01 -4.45418401e-01 -1.00000000e-01  8.45451755e-02 -5.20172241e-02  1.04614342e+00
 5.34384031e-01 -2.00000000e-01 -1.00000000e-01  7.26734985e-01 -4.40860902e-01 -1.00000000e-01  8.48703843e-02 -5.14849741e-02  1.04614349e+00
 5.40981365e-01 -2.00000000e-01 -1.00000000e-01  7.29490625e-01 -4.36286032e-01 -1.00000000e-01  8.51922780e-02 -5.09507400e-02  1.04614368e+00
 5.47578699e-01 -2.00000000e-01 -1.00000000e-01  7.32217471e-01 -4.31693928e-01 -1.00000000e-01  8.55107933e-02 -5.04145132e-02  1.04614385e+00
 5.54176032e-01 -2.00000000e-01 -1.00000000e-01  7.34915425e-01 -4.27084758e-01 -1.00000000e-01  8.58258650e-02 -4.98762895e-02  1.04614390e+00
 5.60773367e-01 -2.00000000e-01 -1.00000000e-01  7.37584344e-01 -4.22458765e-01 -1.00000000e-01  8.61374226e-02 -4.93360742e-02  1.04614370e+00
 5.67370700e-01 -2.00000000e-01 -1.00000000e-01  7.40224159e-01 -4.17816069e-01 -1.00000000e-01  8.64454554e-02 -4.87938698e-02  1.04614324e+00
 5.73968034e-01 -2.00000000e-01 -1.00000000e-01  7.42834742e-01 -4.13156894e-01 -1.00000000e-01  8.67502395e-02 -4.82497512e-02  1.04614307e+00
 5.80565367e-01 -2.00000000e-01 -1.00000000e-01  7.45415996e-01 -4.08481415e-01 -1.00000000e-01  8.70517623e-02 -4.77037348e-02  1.04614320e+00
 5.87162701e-01 -2.00000000e-01 -1.00000000e-01  7.47967838e-01 -4.03789779e-01 -1.00000000e-01  8.73499472e-02 -4.71558211e-02  1.04614349e+00
 5.93760035e-01 -2.00000000e-01 -1.00000000e-01  7.50490146e-01 -3.99082212e-01 -1.00000000e-01  8.76447105e-02 -4.66060225e-02  1.04614381e+00
 6.00357368e-01 -2.00000000e-01 -1.00000000e-01  7.52982822e-01 -3.94358900e-01 -1.00000000e-01  8.79358951e-02 -4.60543870e-02  1.04614393e+00
 6.06954702e-01 -2.00000000e-01 -1.00000000e-01  7.55445770e-01 -3.89620022e-01 -1.00000000e-01  8.82233883e-02 -4.55009445e-02  1.04614368e+00
 6.13552036e-01 -2.00000000e-01 -1.00000000e-01  7.57878894e-01 -3.84865762e-01 -1.00000000e-01  8.85074035e-02 -4.49457165e-02  1.04614344e+00
 6.20149369e-01 -2.00000000e-01 -1.00000000e-01  7.60282106e-01 -3.80096292e-01 -1.00000000e-01  8.87880699e-02 -4.43887264e-02  1.04614347e+00
 6.26746704e-01 -2.00000000e-01 -1.00000000e-01  7.62655296e-01 -3.75311832e-01 -1.00000000e-01  8.90652987e-02 -4.38299980e-02  1.04614364e+00
 6.33344037e-01 -2.00000000e-01 -1.00000000e-01  7.64998391e-01 -3.70512530e-01 -1.00000000e-01  8.93390057e-02 -4.32695476e-02  1.04614380e+00
 6.39941371e-01 -2.00000000e-01 -1.00000000e-01  7.67311252e-01 -3.65698670e-01 -1.00000000e-01  8.96090999e-02 -4.27074078e-02  1.04614381e+00
 6.46538705e-01 -2.00000000e-01 -1.00000000e-01  7.69593858e-01 -3.60870289e-01 -1.00000000e-01  8.98755043e-02 -4.21435835e-02  1.04614354e+00
 6.53136038e-01 -2.00000000e-01 -1.00000000e-01  7.71846066e-01 -3.56027699e-01 -1.00000000e-01  9.01383060e-02 -4.15780898e-02  1.04614317e+00
 6.59733372e-01 -2.00000000e-01 -1.00000000e-01  7.74067806e-01 -3.51171046e-01 -1.00000000e-01  9.03977599e-02 -4.10109102e-02  1.04614314e+00
 6.66330707e-01 -2.00000000e-01 -1.00000000e-01  7.76770105e-01 -3.45152541e-01 -1.00000000e-01  9.07135081e-02 -4.03080019e-02  1.04614340e+00
 6.59733346e-03 -1.80000000e-01 -1.00000000e-01  4.34510713e-01 -7.53725617e-01 -1.00000000e-01  4.95942356e-02 -8.60290944e-02  1.04307579e+00
 1.31946673e-02 -1.80000000e-01 -1.00000000e-01  4.39237900e-01 -7.50980647e-01 -1.00000000e-01  5.01337960e-02 -8.57155984e-02  1.04307547e+00
 1.97920014e-02 -1.80000000e-01 -1.00000000e-01  4.43947764e-01 -7.48206019e-01 -1.00000000e-01  5.06714107e-02 -8.53987409e-02  1.04307523e+00
 2.63893344e-02 -1.80000000e-01 -1.00000000e-01  4.48640088e-01 -7.45401862e-01 -1.00000000e-01  5.12070367e-02 -8.50787022e-02  1.04307534e+00
 3.29866682e-02 -1.80000000e-01 -1.00000000e-01  4.53314697e-01 -7.42568280e-01 -1.00000000e-01  5.17406431e-02 -8.47554542e-02  1.04307570e+00
 3.95840025e-02 -1.80000000e-01 -1.00000000e-01  4.57971417e-01 -7.39705378e-01 -1.00000000e-01  5.22721426e-02 -8.44287568e-02  1.04307582e+00
 4.61813354e-02 -1.80000000e-01 -1.00000000e-01  4.62610033e-01 -7.36813290e-01 -1.00000000e-01  5.28015337e-02 -8.40986533e-02  1.04307575e+00
 5.27786697e-02 -1.80000000e-01 -1.00000000e-01  4.67230416e-01 -7.33892093e-01 -1.00000000e-01  5.33288309e-02 -8.37651989e-02  1.04307561e+00
 5.93760038e-02 -1.80000000e-01 -1.00000000e-01  4.71832338e-01 -7.30941934e-01 -1.00000000e-01  5.38540385e-02 -8.34284554e-02  1.04307552e+00
 6.59733373e-02 -1.80000000e-01 -1.00000000e-01  4.76415653e-01 -7.27962905e-01 -1.00000000e-01  5.43771713e-02 -8.30884787e-02  1.04307558e+00
 7.25706706e-02 -1.80000000e-01 -1.00000000e-01  4.80980125e-01 -7.24955161e-01 -1.00000000e-01  5.48982303e-02 -8.27453223e-02  1.04307590e+00
 7.91680047e-02 -1.80000000e-01 -1.00000000e-01  4.85525631e-01 -7.21918782e-01 -1.00000000e-01  5.54171057e-02 -8.23987837e-02  1.04307602e+00
 8.57653388e-02 -1.80000000e-01 -1.00000000e-01  4.90051979e-01 -7.18853895e-01 -1.00000000e-01  5.59337452e-02 -8.20488085e-02  1.04307578e+00
 9.23626722e-02 -1.80000000e-01 -1.00000000e-01  4.94558955e-01 -7.15760648e-01 -1.00000000e-01  5.64481271e-02 -8.16955895e-02  1.04307549e+00
 9.89600056e-02 -1.80000000e-01 -1.00000000e-01  4.99046447e-01 -7.12639115e-01 -1.00000000e-01  5.69602684e-02 -8.13392051e-02  1.04307527e+00
 1.05557339e-01 -1.80000000e-01 -1.00000000e-01  5.03514183e-01 -7.09489488e-01 -1.00000000e-01  5.74701763e-02 -8.09797080e-02  1.04307523e+00
 1.12154673e-01 -1.80000000e-01 -1.00000000e-01  5.07962078e-01 -7.06311824e-01 -1.00000000e-01  5.79778808e-02 -8.06171350e-02  1.04307546e+00
 1.18752007e-01 -1.80000000e-01 -1.00000000e-01  5.12389902e-01 -7.03106289e-01 -1.00000000e-01  5.84833610e-02 -8.02514869e-02  1.04307593e+00
 1.25349341e-01 -1.80000000e-01 -1.00000000e-01  5.16797512e-01 -6.99872986e-01 -1.00000000e-01  5.89864604e-02 -7.98825593e-02  1.04307614e+00
